label,bankname,CERT
2,FIRST CITIZENS NB UPPER SAND,14355
1,JERSEY SHORE STATE BANK,14359
1,EXCHANGE BANK,1435
2,FIDELITY BANK&TRUST,14382
2,COUNTRYSIDE BANK,1438
2,FARMERS TRUST&SAVINGS BANK,14392
2,HASKELL NATIONAL BANK,14399
1,AMERICAN INTERSTATE BANK,1439
2,FIRST NB IN TIGERTON,14400
2,FARMERS STB OF NEWCASTLE,14404
1,CITY STATE BANK,14410
1,IOWA ST B&T CO FAIRFLD IA,14413
2,BELLEVUE STATE BANK,14415
2,FNB BANK,14420
2,FIRST NB IN DERIDDER,14427
1,FARMERS&MERCHANTS UNION BANK,14445
2,FIRST NB AT DARLINGTON,14468
1,CITIZENS BANK,14488
2,BANK OF CHARLOTTE COUNTY,14491
1,HOMEBANK,14492
1,CNB BANK INC,14507
2,THUMB BANK&TRUST,14513
1,BANK IOWA,14521
2,PCSB BANK,14522
2,ANTWERP EXCHANGE BANK CO,14523
1,AMARILLO NATIONAL BANK,14531
2,FIRST NATIONAL BANK AT PARIS,14534
2,NEW ERA BANK,14546
2,EXCHANGE STB OF ST PAUL KS,14556
2,UNION STATE BANK,14560
2,STATE BANK OF MEDORA,14561
2,FIRST NATIONAL BANK IN OLNEY,14567
2,ODIN STATE BANK,14574
1,FARMERS STATE BANK,14578
2,CLARKSON BANK,14581
2,FIRST NB IN TRINIDAD,14584
1,UNIVERSITY BANK,14587
2,UNION BANK OF MENA,14597
2,COMMUNITY POINT BANK,14604
2,SAVANNAH BANK NATIONAL ASSN,14619
1,COMMUNITY SAVINGS BANK,14633
2,PEOPLES BANK,14636
2,COMMERCIAL BANK,14642
2,MALVERN NATIONAL BANK,14644
2,NEWFIELD NATIONAL BANK,14646
2,COMMUNITY BANK,14649
1,BANK OF HOLLAND,1464
1,HILLS BANK&TRUST CO,14650
2,BANK OF PRAIRIE DU SAC,14660
1,TRUSTBANK,14662
2,FIRST NATIONAL BANK IN AMBOY,14674
1,INDUSTRIAL BANK,14679
2,BANK OF CROCKETT,1468
2,IOWA SAVINGS BANK,14690
1,PEOPLES BANK,14692
1,CEDAR VALLEY BANK&TRUST,14694
2,MA BANK,14695
2,BANK OF NEW MADRID,14701
1,DEWITT BANK&TRUST CO,14705
0,FIRST NATIONAL BANK,14712
1,UNION BANK,14722
2,FRONTIER BANK,14730
2,CITIZENS NB OF QUITMAN,14731
1,FIRST CMTY BK HEARTLAND INC,14735
1,WILLIAMSTOWN BANK INC,14744
1,PEOPLES BANK&TRUST CO,1475
2,FIRST NB IN CARLYLE,14761
1,DMB COMMUNITY BANK,14769
2,DANVILLE STATE SAVINGS BANK,14772
2,STATE SAVINGS BANK,14773
2,CITIZENS NB AT BROWNWOOD,14779
2,CITIZENS SAVINGS BANK,14785
2,CENTURY BANK&TRUST,147
2,FIRST STATE BANK&TRUST,14801
2,FARMERS SAVINGS BANK,14807
1,HEARTLAND BANK,14809
2,TS BANK,14812
2,CITIZENS NB OF HAMMOND,14820
2,FIRST NB IN NEW BREMEN,14836
1,MIDWESTONE BANK,14843
1,BANK OF FRANKEWING,1484
1,CITIZENS BANK,14851
2,FIRST NB AT ST JAMES,14853
2,STATE STREET BANK&TRUST CO,14857
1,LINKBANK,14863
2,STOCKMENS NB IN COTULLA,14864
1,HOME STATE BANK,14867
1,PEOPLES SAVINGS BANK,14868
2,FIRST FARMERS&MERCHANTS BANK,1487
1,COMMUNITY STATE BANK,14883
2,FIRST BANK,14885
1,FARMERS BANK,14894
1,BLUE SKY BANK,14899
1,BANK OF MADISON,148
2,FIRST COMMUNITY BANK,14904
2,INTERNATIONAL BK OF AMHERST,14907
2,SHELL LAKE STATE BANK,14911
2,BANK OF DIXON COUNTY,14912
1,COLLINS STATE BANK,14914
2,HAMLER STATE BANK,14920
2,F&M BANK,14922
2,FREELAND STATE BANK,14926
1,WEST SHORE BANK,14929
2,FIRST IOWA STATE BANK,14930
2,LYON COUNTY STATE BANK,14952
2,STATE BANK OF REESEVILLE,14960
2,SECURITY NB OF ENID,14966
1,KISH BANK,14969
2,FIRST STATE BANK&TRUST,14974
2,SECURITY STATE BANK,1497
2,UNION STATE BANK,14982
2,FARMERS STATE BANK,14991
1,RIVER BANK,14995
2,PORT AUSTIN STATE BANK,14999
2,BANK OF HAZLEHURST,149
2,STATE STREET BANK&TRUST CO,14
1,COLUMBUS BANK&TRUST CO,15010
1,FIRST BANK,15019
1,FIRST STATE BANK,15032
2,RIVERWIND BANK,15035
2,VALLEY STATE BANK,15038
2,PEOPLES COMMUNITY BANK,15046
1,FIRST STATE BANK,15050
1,LOUISIANA NATIONAL BANK,15059
2,JUNCTION NATIONAL BANK,15078
1,ARTHUR STATE BANK,15085
1,LAKE RIDGE BANK,15091
2,RICHLAND COUNTY BANK,15092
2,UNION STATE BANK,15098
2,SENATH STATE BANK,15101
2,BANK OF YORK,15104
2,ZAVALA COUNTY BANK,15105
2,CITIZENS STATE BANK,15111
2,BANK OF GREELEYVILLE,15113
1,GATEWAY FIRST BANK,15118
2,FARMERS STATE BANK,15126
1,BANK OF WISCONSIN DELLS,15136
1,CITIZENS STB OF LA CROSSE,1513
1,GREAT NORTH BANK,15146
1,BLACK RIVER COUNTRY BANK,15152
2,FARMERS STB OF WESTMORELAND,15164
2,PEOPLES STB OF MUNISING,15165
2,KCB BANK,15194
1,DECORAH BANK&TRUST CO,15200
1,BANK3,15205
2,FIRST STATE BANK,15206
2,FIRST CENTRAL NB OF ST PARIS,15214
1,PEOPLES BANK,15216
2,DUBUQUE BANK&TRUST CO,15219
1,BANK OF KAUKAUNA,15228
1,FIRST BUSINESS BANK,15229
2,JOHNSON STATE BANK,15237
2,NORTHERN STATE BANK,15242
2,PUTNAM COUNTY BANK,15243
1,UNITED CITIZENS B&T CO,15249
2,CITIZENS STATE BANK&TRUST CO,15254
1,GREENFIELD BANKING CO,15255
2,FARMERS STATE BANK,15258
2,ELK STATE BANK,15259
2,CITIZENS STATE BANK,15261
1,PEOPLES SB OF RHINELAND,15264
1,MERIT BANK,15270
2,FIRST STATE BANK,15271
2,MARION COUNTY STATE BANK,15272
1,DIAMOND BANK,1527
1,HERITAGE COMMUNITY BANK,15282
2,NORTHERN STB THIEF RIVER FAL,15286
1,SOUTHERN BCORP BANK,1528
2,DENISON STATE BANK,15305
2,TRUCOMMUNITY BANK,15306
2,CB&S BANK INC,15310
2,IOWA FALLS STATE BANK,15311
2,FIRST STATE BANK,15321
1,SILVER LAKE BANK,15323
2,SECURITY BANK&TRUST CO,15324
2,UNION BANKING CO,15326
2,ROLLING HILLS BANK&TRUST,15334
2,DURDEN BANKING CO INC,15336
2,TXN BANK NATIONAL ASSN,15345
2,COMMERCE BANK TEXAS,15346
2,SECURITY BK OF PULASKI CNTY,15347
2,FIRST BANK&TRUST CO,15348
2,MARION STATE BANK,15355
1,SOUTHERN BANK&TRUST CO,15359
1,BELT VALLEY BANK,15362
2,FIRST STATE BANK,15364
2,FARMERS STATE BANK,15367
2,BANK OF STOCKTON,1536
2,RCB BANK,15399
2,HOUGHTON STATE BANK,15405
2,PEOPLES BANK OF WYACONDA MO,15415
1,AMERICAN BANK OF MISSOURI,15423
2,CHELSEA SAVINGS BANK,15427
2,ROBERT LEE STATE BANK,15442
1,LAKE ELMO BANK,15443
2,AMERICAN ST B&T CO WILLISTON,15444
2,FIRST NB AMES IOWA,1545
2,SPUR SECURITY BANK,15460
1,STATE BANK OF DE KALB,15463
2,UNITED SOUTHERN BANK,15465
2,FIRST STATE BANK OF RANSOM,15469
2,FIRST STATE BANK OF CANDO,15471
2,FIRST UNITED BANK,15472
2,CITIZENS BANK OF AMERICUS,15477
2,UNITED VALLEY BANK,15478
2,IOWA TRUST&SAVINGS BANK,1547
1,COLEMAN COUNTY STATE BANK,15480
2,WEST PLAINS BANK&TRUST CO,15489
2,FIRST STATE BANK OF BLAKELY,15496
2,LYTLE STB OF LYTLE TEXAS,15501
1,CENTRAL STATE BANK,1550
1,AMERISTATE BANK,15510
2,FIRST STATE BANK,15511
1,CITIZENS STATE BANK,15519
2,MUENSTER STATE BANK,15523
2,CBI BANK&TRUST,1552
1,CENTREBANK,15532
1,FIRST STATE BANK,15539
2,SHELBY COUNTY STATE BANK,1553
1,FRONTIER BANK,15545
2,CHILLICOTHE STATE BANK,15546
2,BANK OF LAKE VILLAGE,15547
1,CENTRAL BANK,15555
2,PIONEER BANK&TRUST,15562
2,FIRST SOUTHERN BANK,15565
2,HOOSIER HEARTLAND STATE BANK,15566
1,TWIN CEDARS BANK,1556
1,FIRST NB OF PULASKI,15572
2,INTEGRITY BANK PLUS,15578
2,FIRST BANK OF COASTAL GA,15580
1,MID-MISSOURI BANK,15584
2,BAY PORT STATE BANK,15585
2,TAYLOR COUNTY BANK,15590
2,IPSWICH STATE BANK,15593
2,SECURITY STB OF KENYON,15597
2,HORIZON FINANCIAL BANK,15598
2,BANK OF ALAPAHA,155
2,HAMILTON BANK,15606
2,FARMERS&MERCHANTS STATE BANK,15610
1,WEST BANK,15614
2,FIRST FARMERS&MERCHANTS STB,15621
1,QUOIN FINANCIAL BANK,15629
1,PEOPLES BANK,1562
2,GREENFIELD BANKING CO,15632
2,STATE BANK&TRUST CO,15651
1,ALLIANCE BANK CENTRAL TEXAS,15657
2,FIRST STATE BANK,15663
1,FREEDOM BANK INC,15664
2,MCBANK,15669
2,PEOPLES BANK,1566
2,BANK OF CLARENDON,15671
2,BANK OF RIPLEY,15673
2,CITIZENS BANK&TRUST CO,15675
1,GRANT COUNTY STATE BANK,15687
1,CLEAR LAKE BANK&TRUST CO,15690
1,PINELAND BANK,15699
2,SEYMOUR BANK,15701
2,TOWN&COUNTRY BANK&TRUST CO,15703
2,CASEY COUNTY BANK INC,15708
2,DAKOTA COMMUNITY B&T NA,15728
1,PARTNERS BANK,15729
1,SECURITY BANK OF CRAWFORD,15731
2,SECURITY SAVINGS BANK,15734
2,COMMERCIAL BANK OF MOTT,15741
2,SECURITY STATE BANK,15749
2,STATE BANK,15751
1,FIRST STATE BANK,15752
2,CITIZENS NB OF ALBION,15760
2,FIRST AMERICAN BANK,15762
2,FIRST NB OF NOKOMIS,15763
2,FIRST SECURITY BANK-HENDRICK,15767
2,NORTHEAST GEORGIA BANK,15771
2,MEDIAPOLIS SAVINGS BANK,15772
2,GRANT COUNTY BANK,15778
1,FARMERS&MERCHANTS BANK,15779
1,STOCK EXC BK CALDWELL KS,15784
2,PEOPLES BK OF MONITEAU CNTY,15792
1,BROADWAY NATIONAL BANK,15797
1,PREMIER COMMUNITY BANK,15799
2,FARMERS&MERCHANTS BANK,15801
2,IOWA STATE BANK,15808
1,SECURITY STATE BANK&TRUST,15809
1,ONESOUTH BANK,15813
1,CENTRAL BANK&TRUST CO,15815
2,GENESIS BANK,15817
1,RED RIVER STATE BANK,15820
1,CLAXTON BANK,15826
1,NORTHWEST BANK&TRUST CO,15830
2,SECURITY STATE BANK,15839
2,SUNRISE BANK DAKOTA,15847
2,FARMERS STATE BANK,15853
2,PEOPLES BANK,15871
1,MILLEDGEVILLE STATE BANK,15873
2,DEMOTTE STATE BANK,15883
2,FIRST STATE BANK,15898
2,FUSION BANK,15899
2,FOUR COUNTY BANK,15904
2,COMMUNITY FIRST BANK,15907
2,UNION STATE BANK,15908
1,SAVINGS BANK OF DANBURY,15912
2,FIRST COMMUNITY BANK&TRUST,15913
2,FARMERS NB OF GRIGGSVILLE,15928
2,MAXWELL STATE BANK,15930
2,CITIZENS BANK,15932
2,PEOPLES STATE BANK,15939
1,FOREST PARK NB&T CO,15945
2,IOWA STATE BANK,15947
1,GUARANTY BANK&TRUST CO,15953
2,FULTON SAVINGS BANK,15966
1,RONDOUT SAVINGS BANK,15969
3,COMERICA B&T NA,1596
1,ULSTER SAVINGS BANK,15970
1,WALDEN SAVINGS BANK,15987
2,WATERTOWN SAVINGS BANK,15990
1,PCSB BANK,15995
2,FIRST FARMERS&MERCHANTS STB,1600
1,RIDGEWOOD SAVINGS BANK,16026
1,NORTH COUNTRY SAVINGS BANK,16030
1,RHINEBECK BANK,16032
1,SAWYER SAVINGS BANK,16039
1,GENERATIONS BANK,16040
1,SECURITY BANK USA,1604
1,APPLE BANK FOR SAVINGS,16068
1,RAYNE STATE BANK&TRUST CO,16075
2,YORK STATE BANK,16079
2,BANK OF ELK RIVER,1607
2,EXCHANGE STATE BANK,16094
2,FIRST STATE BANK OF WYOMING,1609
2,EXCHANGE BANK,160
1,MILFORD BANK,16101
2,FARMBANK,16103
2,STATE BANK OF FARIBAULT,1610
2,BUTTE STATE BANK,16110
1,HIGHLAND BANK,16111
2,FARMERS STATE BANK&TRUST CO,16114
1,NEBRASKA BANK,16116
2,CARROLL CNTY TR CARROLLTON M,1611
2,RILEY STB OF RILEY KANSAS,16120
1,EASTERN COLORADO BANK,16125
1,CITIZENS BANK OF THE MIDWEST,16126
2,FNB COMMUNITY BANK,16127
2,SHERWOOD COMMUNITY BANK,1612
2,FIRST NATIONAL BANK ALASKA,16130
2,STATE BANK,16151
1,PEOPLES BANK,16152
2,BANK OF ELGIN,16154
1,WAUKESHA STATE BANK,16160
2,CAMPBELL COUNTY BANK INC,16161
2,FIRST STATE BANK OF PURDY,16162
2,METAMORA STATE BANK,16167
1,EXCHANGE BANK OF MISSOURI,1616
2,WEST ALABAMA BANK&TRUST,16175
1,JOHNSON CITY BANK,16176
2,FIRST STATE BANK,16177
1,BANK OF MISSOURI,1617
2,SAMSON BANKING CO INC,16185
1,STOCKMAN BANK OF MONTANA,16191
1,ROCKHOLD BANK,16193
2,MASON CITY NATIONAL BANK,16198
2,BANK OF WOLCOTT,16201
1,FARMERS&MERCHANTS BANK,16216
2,RELIABANK DAKOTA,16221
1,SHERWOOD STATE BANK,16222
1,WHEELER COUNTY STATE BANK,16228
2,FIRST SECURITY BANK,1622
2,DAKOTA HERITAGE BANK,16231
2,BANK OF EASTERN OREGON,16243
1,COMMERCIAL BANKING CO,16246
2,NEIGHBORS BANK,16247
1,DEVON BANK,16249
1,MARQUETTE BANK,16250
1,PEOPLES BANK,16265
1,CITIZENS BANK OF COCHRAN,16275
2,BANK OF HILLSBORO NA,16276
2,BANK OF LUMBER CITY,16281
2,BANK OF BEARDEN,16282
1,SOUTH COAST BANK&TRUST,16283
1,SOUTHERN BANK,16288
2,MANUFACTURERS BANK&TRUST CO,16307
2,MARSEILLES BANK,16318
2,BATTLE CREEK STATE BANK,16330
2,FIRST STATE BANK&TRUST,16332
2,FIRST STATE BANK,16333
2,FIRST STATE BANK OF ODEM,16334
2,TRI-COUNTY BANK,16339
2,STATE BANK OF PEARL CITY,16344
2,BANK OF KIRKSVILLE,1635
2,CAPRA BANK,16363
1,CITIZENS BANK,16369
2,HICKSVILLE BANK,16370
1,BRANTLEY BANK&TRUST CO,16386
2,BANK OF TRAVELERS REST,16389
2,TABLE GROVE STATE BANK,16394
1,SECURITY BANK,16395
1,LAFAYETTE STATE BANK,16396
2,FCNB BANK,1639
1,BENNINGTON STATE BANK,16402
1,ANDOVER STATE BANK,16410
2,BANK OF STRONGHURST,16413
2,FSNB NATIONAL ASSN,16416
1,CITIZENS BANK&TRUST CO,16417
1,BANKSOUTH,16418
2,CENTERA BANK,16436
2,FARMERS&MERCHANTS BANK,16440
2,SECURITY STATE BANK,16448
1,BUSEY BANK,16450
2,WHITESVILLE STATE BANK,16453
2,MERCHANTS&PLANTERS BANK,16464
1,JEFFERSON BANK,16470
1,KENDALL BANK,16471
2,GARY STATE BANK,16472
2,FIRST BANK,16473
2,STATE BANK OF LAKOTA,16477
2,LONGVIEW BANK&TRUST,16479
2,FIRST BANKERS TRUST CO NA,16501
2,NEBRASKA STATE BANK,16516
2,METAIRIE BANK&TRUST CO,16539
2,JD BANK,16546
2,BANK PLUS,16547
1,OZARK BANK,1654
1,ELKHORN VALLEY BANK&TRUST,16553
2,BANK OF OLD MONROE,1655
2,STATE BANK OF EASTON,16561
1,BMO HARRIS BANK NA,16571
1,CITIZENS STATE BANK,16581
2,STATE BANK OF BURRTON,16583
2,CARVER STATE BANK,16584
1,VERMONT STATE BANK,16585
1,CCB COMMUNITY BANK,16595
2,FIRST STATE BANK,16600
2,BANK NORTHWEST,16601
1,PEOPLES BANK,16603
1,BANK INDEPENDENT,16604
2,ROCHELLE STATE BANK,16609
2,FARMERS&MERCHANTS BANK OF SC,1660
2,FNB PICAYUNE BANK,16612
2,UNION BANK INC,16620
2,ESB FINANCIAL,16629
1,LUMINATE BANK,16635
2,TORRINGTON SAVINGS BANK,16636
2,FIRST STATE BANK,16643
1,SOUTHWEST BANK,16652
2,SECURITY STB OF AITKIN,16656
2,NORTHEAST BANK,16659
1,PADUCAH BANK&TRUST CO,16664
1,ITASCA BANK&TRUST CO,16666
2,WASHINGTON STATE BANK,16667
1,GIBSLAND BANK&TRUST CO,16689
2,FIRST STATE BANK,16695
2,BANKWEST,16704
2,SOUTH CENTRAL STATE BANK,16707
2,WESTERN BANK,16720
1,CAROLINA BANK&TRUST CO,16723
2,NORTH STAR BANK,16733
0,1ST FINANCIAL BANK USA,1673
2,PEOPLES STATE BANK,16744
1,NATIONAL BANK OF ST ANNE,16752
2,CITIZENS STATE BANK,16753
2,CAMPBELL&FETTER BANK,16757
2,RICHLAND STATE BANK,1675
2,FRANKLIN STATE BANK,16778
2,GREAT OAKS BANK,16780
2,UNION STATE BANK,16788
1,PLAINS COMMERCE BANK,1678
2,BANK OF LOCUST GROVE,16795
2,FARMERS&MERCHANTS BANK,16810
1,CITIZENS BANK,16817
2,BANK OF GLEN BURNIE,16820
1,SUNMARK COMMUNITY BANK,16825
2,PROSPERITY BANK,16835
1,RIVER FALLS STATE BANK,16840
1,FIRST ARKANSAS BANK&TRUST,16849
1,CITIZENS DEP BK ARLINGTON,16852
2,COMMUNITY 1ST BANK LAS VEGAS,16854
2,FIRST AMERICAN BANK&TRUST CO,16858
2,CITIZENS INDEPENDENT BANK,16863
1,WEST TEXAS STATE BANK,16866
2,CORN GROWERS STATE BANK,16868
2,FARMERS STATE BANK,1686
2,COMMUNITY BANK,1687
1,UNITED COMMUNITY BANK,16889
1,PILGRIM BANK,16891
2,FIRST STATE BANK OF BEDIAS,16895
2,F&M BANK,16897
2,PRINCEVILLE STATE BANK,16900
2,BANK OF ORCHARD,16905
1,STATE BANK OF TAUNTON,16906
2,SPIRO STATE BANK,16908
1,22ND STATE BANK,16910
1,F&M BANK&TRUST CO,16916
2,CITIZENS STATE BANK,16934
1,UBANK,1693
2,FARMERS STATE BANK,16941
2,BANK OF CLARKS,16953
1,MINNWEST BANK,16958
1,BANK OF BILLINGS,16959
2,PEOPLES BANK,16968
1,FARMERS BANK,1696
1,PEOPLES BANK OF KENTUCKY INC,16970
2,SOLUTIONS NORTH BANK,16971
1,COMMUNITY STB OF ORBISONIA,16976
1,BANK OF COLORADO,16980
2,BANK OF PONTIAC,16982
2,FIRST NB OF GRIFFIN,169
1,FIRST SECURITY BANK&TRUST CO,17001
1,CENTRAL BANK OF KANSAS CITY,17009
1,FIRST CENTURY BANK,1700
1,FNB SOUTH,17011
2,WILSON&MUIR BANK&TRUST CO,17040
1,MOUNTAIN VALLEY BANK,1705
2,STATE BANK OF BELLINGHAM,17062
2,LABETTE BANK,17068
2,PEOPLES BANK,17073
1,FIRST US BANK,17077
1,FIRST NB OF SOUTH MIAMI,17093
1,HOMEBANK TEXAS,17094
2,LIBERTY STATE BANK,17096
1,PEOPLES BANK OF GEORGIA,170
2,COMMUNITY B&T WACO TEXAS,17108
1,PARTNERS BANK OF NEW ENGLAND,17115
1,CITIZENS BANK OF LAFAYETTE,1711
2,FIRST SECURITY BANK,17120
2,LAKE COUNTRY COMMUNITY BANK,17122
1,ARTISANS BANK,17123
1,WILCOX COUNTY STATE BANK,17126
1,INTERCITY STATE BANK,17128
2,PEOPLES STATE BANK,17138
1,BANK OF PERRY COUNTY,1713
2,HERITAGE BANK,17145
1,BANK OF UTAH,17159
2,CITIZENS 1ST BANK,1715
2,COTTONWOOD VALLEY BANK,17160
2,DAIRY STATE BANK,17162
2,STATE BANK&TRUST CO,17169
2,PEOPLES STB FAIRMOUNT N D,17174
1,MEREDITH VILLAGE SB,17180
2,BANK OF CAMILLA,17190
2,WARRINGTON BANK,17193
2,POTTER STATE BANK OF POTTER,17205
1,TSB BANK,17208
1,WESTERN BANK,1720
1,CITIZENS BANK,17211
2,CITIZENS STATE BANK,17214
2,FIRST SECURITY T&SB,17224
1,HENDERSON STATE BANK,17229
1,ALBANY B&T CO NA,17230
1,SIDNEY STATE BANK,17232
2,NORTH CENTRAL BANK,17241
1,BANK OF DENVER,17244
2,ST ANSGAR STATE BANK,17259
1,ESSEX SAVINGS BANK,17262
1,UMPQUA BANK,17266
2,BANK OF TIOGA,17280
1,CITY NATIONAL BANK,17281
1,BANKIOWA,17282
2,UNITED BANK,172
1,CENTRAL PACIFIC BANK,17308
2,PEOPLES BANK OF GREENSBORO,1730
2,GOPPERT STATE SERVICE BANK,17317
2,PEOPLES BANK&TRUST,17320
1,FIRST STATE COMMUNITY BANK,17323
2,BANK OF DICKSON,17327
1,SOUTH STORY BANK&TRUST,17348
2,FIRST STB OF SAN DIEGO,17350
2,FARMERS&MERCHANTS BANK,1735
1,CARSON BANK,17369
1,MID-AMERICA BANK,17374
2,STATE EXCHANGE BANK,17375
1,M C BANK&TRUST CO,17388
2,GERMAN AMERICAN BANK,17393
2,IMPACT BANK,17399
2,HAVILAND STATE BANK,17403
2,BENDENA STATE BANK,17410
1,MOUNTAIN VALLEY BANK,17411
1,STONE BANK,17431
1,DACOTAH BANK,17437
1,FIRST NB OF AMERICA,17438
2,DYSART STATE BANK,17441
2,PISCATAQUA SAVINGS BANK,17443
2,COMMUNITY BANK,17445
2,FORT DAVIS STATE BANK,17446
2,FIRST BANK,1744
2,DEFIANCE STATE BANK,17450
2,HALSTEAD BANK,17451
2,APPLE RIVER STATE BANK,17453
2,FARMERS&MERCHANTS BANK,1745
1,FIRST BANK CHICAGO,17470
2,UNITED BANK&TRUST,17477
1,FIRSTIER BANK,17478
1,PLAINSCAPITAL BANK,17491
1,FIRST STB OF THE FL KEYS,17509
1,FISHER NATIONAL BANK,17513
1,BANTERRA BANK,17514
0,KEYBANK NATIONAL ASSN,17534
1,UNION BANK&TRUST CO,1753
2,BANK OF DADE,17543
2,COMMUNITY STATE BANK,17551
2,PALMETTO STATE BANK,17563
2,BANK OF DENTON,17569
1,CENTRAL BANK,1756
2,FIRST NB IN TAYLORVILLE,17572
2,FNBT BANK,17580
1,SIMMESPORT STATE BANK,17587
2,FIRST STATE BANK,17588
2,CULBERTSON BANK,17589
1,COMMERCIAL BANK,175
1,NATIONAL BANK OF ANDREWS,17603
2,CITY STATE BANK,17607
1,CENTRAL BANK,17612
2,FARMERS BANK&TRUST,17614
1,BASILE STATE BANK,17621
1,ALDEN STATE BANK,17622
2,FARMERS STB OF BLUE MOUND,17629
2,FARMERS STATE BANK,17632
2,ASTRA BANK,17636
1,RVR BANK,17639
2,FIRST NATIONAL BANK,17643
2,STOCKGROWERS STB ASHLAND KS,17650
2,ALDEN STATE BANK,17652
1,NORWAY SAVINGS BANK,17658
2,FIRST STATE BANK OF HEALY,17661
1,BANK OF PRAIRIE VILLAGE,17671
2,CITIZENS STATE BANK,17672
1,LEGACY BANK,17676
1,OUTDOOR BANK,17685
2,MECHANICS BANK,1768
2,COMMUNITY STATE BANK,17734
1,CITY NB OF WEST VIRGINIA,17735
2,HOMETOWN SAVINGS BANK,17736
1,PLAINS STATE BANK,17739
1,MAINE COMMUNITY BANK,17741
1,SACO&BIDDEFORD SVG INST,17743
1,GORHAM SAVINGS BANK,17748
1,BATH SAVINGS INSTITUTION,17749
1,ANDROSCOGGIN SAVINGS BANK,17751
1,BALTIC STATE BANK,17759
1,CENTREVILLE BANK,17764
1,GUARANTY BANK&TRUST CO,17767
2,BANK OF HAYS,17769
1,BLUE RIDGE BANK,17773
2,FIRST STATE BANK,17775
1,PIKES PEAK NATIONAL BANK,17782
2,STATE BANK,1778
1,ROLLSTONE BANK&TRUST,17797
1,BROOKLINE BANK,17798
1,CITIZENS STATE BANK OF OURAY,1779
2,CITIZENS BANK,17809
2,FARMERS STATE BANK OF CALHAN,1780
2,FIRST NB IN PORT LAVACA,17811
2,BANK OF HAZELTON,17813
2,FIRST STB SHANNON-POLO,1781
2,BOELUS STATE BANK,17825
2,CITIZENS BANK OF CHARLESTON,17830
2,KAW VALLEY STATE B&T CO,17832
1,WILMINGTON SVG FUND SOCIETY,17838
2,VERMILION BANK&TRUST CO,17841
1,TEXAS BANK&TRUST CO,17842
2,STERLING STATE BANK,17863
1,LONGVIEW BANK,1786
1,CAMBRIDGE SAVINGS BANK,17870
2,FIRST NATIONAL BANK CORTEZ,17872
1,BANK OF LOUISIANA,17878
1,FREEDOM BANK,17881
1,KENNEBEC SAVINGS BANK,17897
1,TALBOT STATE BANK,178
2,MAQUOKETA STATE BANK,17903
2,AMERICAN BANK&TRUST CO,17906
1,MORRIS BANK,17910
2,FIRST NB OF FORT STOCKTON,17913
2,STRASBURG STATE BANK,17922
2,VINTAGE BANK KANSAS,17927
1,BLUE RIDGE BANK&TRUST CO,17933
1,FRANKLIN BANK&TRUST CO,17937
1,LIBERTY BANK,17943
1,FIRST STATE BANK,17950
1,FRANKLIN SAVINGS BANK,17951
1,DOLORES STATE BANK,17959
1,MERRIMACK COUNTY SB,17960
2,STATE BANK OF SOUTHERN UTAH,17964
2,COMMERCIAL BANK OF OZARK,17975
1,CASTROVILLE STATE BANK,17979
2,WALTON STATE BANK,17982
2,FIRST HAWAIIAN BANK,17985
2,KEYSTONE SAVINGS BANK,17993
2,BANK OF GREELEY,17995
1,BANK OF NEW HAMPSHIRE,18012
1,MASCOMA BANK,18013
1,PATRIOTS BANK,18019
1,SUGAR RIVER BANK,18028
1,SAVINGS BANK OF WALPOLE,18030
1,WOODSVILLE GUARANTY SB,18031
2,SECURITY BANK OF THE OZARKS,18033
1,CLAREMONT SAVINGS BANK,18038
2,BANK OF HAWAII,18053
1,BANK OF COMMERCE,18059
1,COREBANK,18063
2,WATKINS SAVINGS BANK,18071
2,PIQUA STATE BANK,18089
2,BETTER BANKS,1808
2,MARQUETTE FARMERS STB MARQUE,18094
1,COREFIRST BANK&TRUST,18100
2,FARMERS STB OF BUCKLIN KS,18101
1,TRICENTURY BANK,18109
2,BANK OF THE PLAINS,18118
2,FARMERS STB OF ALICEVILLE KS,18120
1,BANKNEWPORT,18129
2,PEARLAND STATE BANK,18132
1,FIRST NB OF WAUCHULA,18136
1,OCONEE STATE BANK,18143
2,STATE BANK OF EAGLE BUTTE,18145
2,FIRST NB OF JASPER,18150
2,BRIDGE CITY STATE BANK,18155
2,GARFIELD COUNTY BANK,18164
2,STOCKGROWERS STATE BANK,18165
1,BANK OF O FALLON,18171
1,COMMUNITY NB&T OF TEXAS,18185
1,UNION SAVINGS BANK,18190
1,GUILFORD SAVINGS BANK,18194
1,ION BANK,18198
1,NEWTOWN SAVINGS BANK,18199
1,DIME BANK,18200
1,FIRST COUNTY BANK,18204
1,FAIRFIELD COUNTY BANK,18213
2,TEJAS BANK,18216
2,FOWLER STATE BANK,1821
1,WEBSTER BANK NATIONAL ASSN,18221
2,STAFFORD SAVINGS BANK,18227
1,NORTHWEST COMMUNITY BANK,18229
1,JEWETT CITY SAVINGS BANK,18237
1,CHELSEA GROTON BANK,18238
1,THOMASTON SAVINGS BANK,18258
1,NORTHERN BANK&TRUST CO,18266
1,COMMUNITY STATE BANK,18272
2,FIRST NATIONAL BANK OF ALVIN,18282
2,FARMERS SAVINGS BANK,18284
2,HAWAII NATIONAL BANK,18296
1,SOUTHSIDE BANK,18297
